country,July_temp,Jan_temp,avg_temp,avg_water
TCD,29.26,20.66,26.65,330.51
TGO,25.01,26.69,26.80,1189.11
THA,27.19,23.10,26.25,1532.48
TJK,15.38,-10.20,3.03,492.02
TKM,29.35,1.01,15.22,156.75
TLS,23.81,25.46,24.97,1239.77
TTO,26.06,24.72,25.86,1831.41
TUN,28.75,10.44,19.36,267.09
TUR,21.83,-0.52,10.93,573.28
TZA,20.10,23.05,22.31,1052.38
UGA,21.56,23.18,22.60,1207.90
UKR,19.95,-5.15,8.21,561.79
URY,11.79,23.90,17.57,1250.48
USA,19.94,-6.31,6.75,654.54
UZB,27.71,-3.03,12.52,191.82
VCT,27.61,25.31,26.82,1585.97
VEN,24.62,25.03,25.32,1957.65
VIR,26.87,23.94,25.74,2131.47
VNM,27.17,19.46,24.07,1835.16
VUT,22.24,25.33,23.84,2662.11
YEM,26.98,18.35,23.16,166.54
ZAF,11.07,23.19,17.60,474.78
ZMB,17.07,22.89,21.58,1004.75
ZWE,15.64,23.90,21.03,668.97
